,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,45.0,23.0,26.0,8.0,7.0,8.0,7.0,10.0,9.0,12.0,9.0,10.0,10.0,15.0,14.0,16.0,16.0,22.0,16.0
1,5.0,31.0,37.0,13.0,13.0,15.0,15.0,16.0,16.0,18.0,14.0,15.0,14.0,20.0,20.0,20.0,21.0,24.0,21.0
2,40.0,23.0,36.0,16.0,13.0,14.0,13.0,14.0,15.0,18.0,16.0,15.0,15.0,22.0,19.0,23.0,28.0,25.0,27.0
3,45.0,26.0,25.0,18.0,18.0,19.0,19.0,21.0,20.0,21.0,19.0,20.0,21.0,26.0,24.0,28.0,28.0,27.0,30.0
4,46.0,25.0,22.0,19.0,24.0,26.0,23.0,24.0,26.0,27.0,25.0,24.0,25.0,33.0,30.0,33.0,31.0,34.0,35.0
