,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.0,20.0,0.0,0.0,0.0,2.0,7.0,7.0,18.0,7.0,13.0,35.0,25.0,27.0,35.0,26.0,37.0,40.0,42.0
1,1.0,40.0,40.0,1.0,2.0,3.0,8.0,6.0,12.0,9.0,13.0,38.0,16.0,35.0,43.0,22.0,42.0,35.0,38.0
2,40.0,20.0,40.0,1.0,3.0,10.0,13.0,10.0,19.0,20.0,22.0,25.0,31.0,37.0,34.0,30.0,36.0,34.0,44.0
3,2.0,22.0,40.0,1.0,3.0,5.0,8.0,11.0,17.0,11.0,12.0,27.0,27.0,31.0,33.0,32.0,38.0,38.0,46.0
4,1.0,40.0,40.0,0.0,2.0,4.0,4.0,9.0,21.0,9.0,19.0,32.0,23.0,44.0,37.0,32.0,37.0,35.0,41.0
