,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,11.0,6.0,7.0,13.0,14.0,15.0,19.0,24.0,34.0,25.0,16.0,26.0,23.0,27.0,36.0,31.0,39.0,28.0,39.0
1,12.0,7.0,9.0,8.0,14.0,20.0,19.0,23.0,37.0,25.0,28.0,25.0,25.0,27.0,31.0,25.0,38.0,35.0,37.0
2,12.0,13.0,21.0,24.0,25.0,28.0,25.0,31.0,40.0,28.0,31.0,24.0,32.0,31.0,37.0,39.0,41.0,38.0,39.0
3,14.0,15.0,25.0,31.0,30.0,36.0,30.0,29.0,42.0,31.0,31.0,35.0,35.0,34.0,39.0,38.0,47.0,43.0,49.0
4,22.0,17.0,25.0,32.0,31.0,37.0,32.0,33.0,43.0,35.0,35.0,34.0,33.0,37.0,45.0,36.0,48.0,49.0,50.0
