,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,4.0,36.0,34.0,52.0,54.0,62.0,58.0,67.0,44.0,46.0,44.0,46.0,40.0,47.0,41.0,51.0,52.0,51.0,51.0
1,50.0,57.0,41.0,64.0,65.0,52.0,64.0,73.0,72.0,73.0,66.0,72.0,67.0,49.0,49.0,75.0,73.0,68.0,54.0
2,50.0,58.0,56.0,67.0,69.0,69.0,67.0,71.0,69.0,73.0,65.0,74.0,47.0,48.0,57.0,55.0,52.0,62.0,73.0
3,29.0,52.0,52.0,62.0,71.0,59.0,66.0,70.0,65.0,72.0,74.0,73.0,73.0,38.0,53.0,46.0,51.0,59.0,70.0
4,36.0,54.0,50.0,52.0,69.0,64.0,69.0,74.0,74.0,72.0,70.0,50.0,72.0,51.0,53.0,64.0,75.0,61.0,53.0
