,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,44.0,57.0,62.0,65.0,48.0,32.0,62.0,71.0,71.0,72.0,69.0,44.0,54.0,59.0,63.0,57.0,69.0,55.0,67.0
1,45.0,59.0,39.0,64.0,54.0,53.0,54.0,62.0,72.0,70.0,74.0,49.0,65.0,64.0,51.0,59.0,78.0,67.0,71.0
2,35.0,58.0,50.0,67.0,60.0,54.0,55.0,74.0,76.0,74.0,70.0,53.0,56.0,58.0,63.0,68.0,73.0,59.0,67.0
3,46.0,59.0,42.0,65.0,51.0,51.0,53.0,70.0,73.0,69.0,75.0,62.0,60.0,64.0,58.0,67.0,65.0,62.0,66.0
4,46.0,61.0,47.0,66.0,52.0,62.0,60.0,67.0,74.0,71.0,76.0,58.0,68.0,60.0,55.0,60.0,77.0,68.0,70.0
