,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,3.0,40.0,23.0,30.0,22.0,37.0,31.0,40.0,34.0,33.0,35.0,42.0,37.0,40.0,45.0,46.0,37.0,48.0,44.0
1,47.0,14.0,37.0,38.0,36.0,41.0,33.0,48.0,38.0,43.0,47.0,46.0,35.0,42.0,46.0,36.0,36.0,42.0,42.0
2,49.0,19.0,36.0,36.0,37.0,43.0,41.0,51.0,43.0,48.0,44.0,49.0,33.0,36.0,51.0,45.0,43.0,49.0,53.0
3,12.0,22.0,57.0,51.0,40.0,44.0,42.0,53.0,44.0,52.0,44.0,53.0,48.0,48.0,51.0,44.0,43.0,49.0,53.0
4,16.0,23.0,39.0,34.0,36.0,38.0,38.0,46.0,40.0,53.0,44.0,46.0,46.0,39.0,54.0,47.0,49.0,46.0,58.0
