,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,44.0,61.0,23.0,60.0,57.0,41.0,59.0,45.0,65.0,48.0,54.0,63.0,55.0,64.0,62.0,68.0,60.0,57.0,43.0
1,12.0,45.0,64.0,47.0,57.0,68.0,70.0,75.0,64.0,55.0,67.0,72.0,62.0,63.0,69.0,62.0,60.0,65.0,70.0
2,48.0,42.0,69.0,63.0,63.0,60.0,59.0,64.0,50.0,73.0,66.0,68.0,41.0,68.0,69.0,57.0,64.0,59.0,62.0
3,21.0,42.0,56.0,53.0,67.0,61.0,76.0,65.0,61.0,59.0,62.0,64.0,56.0,67.0,65.0,60.0,64.0,69.0,65.0
4,44.0,46.0,56.0,57.0,60.0,58.0,60.0,73.0,64.0,60.0,72.0,66.0,71.0,66.0,66.0,63.0,65.0,59.0,66.0
