,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,7.0,12.0,20.0,32.0,34.0,39.0,33.0,47.0,45.0,49.0,47.0,42.0,38.0,49.0,38.0,49.0,54.0,54.0,45.0
1,8.0,15.0,29.0,39.0,38.0,41.0,39.0,51.0,37.0,39.0,51.0,41.0,44.0,51.0,55.0,47.0,41.0,49.0,47.0
2,8.0,22.0,35.0,45.0,47.0,49.0,42.0,56.0,48.0,41.0,56.0,51.0,40.0,49.0,60.0,56.0,46.0,55.0,56.0
3,27.0,28.0,37.0,44.0,49.0,47.0,42.0,55.0,47.0,51.0,47.0,50.0,50.0,45.0,55.0,53.0,57.0,58.0,59.0
4,44.0,36.0,44.0,56.0,57.0,56.0,49.0,56.0,45.0,54.0,56.0,52.0,52.0,55.0,63.0,59.0,55.0,59.0,63.0
