,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,12.0,12.0,17.0,41.0,24.0,38.0,31.0,50.0,37.0,47.0,43.0,51.0,37.0,41.0,56.0,53.0,50.0,51.0,52.0
1,23.0,17.0,35.0,43.0,40.0,38.0,40.0,39.0,32.0,40.0,42.0,39.0,37.0,41.0,54.0,43.0,51.0,55.0,50.0
2,17.0,24.0,24.0,46.0,42.0,53.0,42.0,41.0,36.0,44.0,47.0,54.0,43.0,40.0,55.0,48.0,54.0,53.0,52.0
3,25.0,27.0,26.0,36.0,46.0,44.0,42.0,42.0,45.0,50.0,48.0,56.0,49.0,47.0,57.0,53.0,58.0,63.0,56.0
4,18.0,29.0,41.0,37.0,45.0,47.0,45.0,50.0,51.0,52.0,49.0,57.0,53.0,53.0,63.0,56.0,57.0,63.0,60.0
