,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,16.0,16.0,27.0,41.0,37.0,36.0,31.0,45.0,43.0,33.0,37.0,29.0,35.0,47.0,28.0,48.0,38.0,35.0,39.0
1,47.0,28.0,40.0,45.0,45.0,45.0,42.0,45.0,46.0,46.0,55.0,52.0,47.0,52.0,52.0,51.0,49.0,52.0,54.0
2,23.0,28.0,38.0,41.0,46.0,49.0,49.0,41.0,45.0,48.0,46.0,44.0,48.0,47.0,46.0,49.0,49.0,54.0,49.0
3,23.0,32.0,38.0,44.0,47.0,46.0,48.0,49.0,49.0,49.0,50.0,50.0,50.0,45.0,51.0,47.0,49.0,53.0,50.0
4,23.0,29.0,40.0,39.0,47.0,48.0,42.0,42.0,50.0,46.0,47.0,49.0,45.0,49.0,47.0,52.0,50.0,57.0,56.0
