,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,37.0,54.0,53.0,50.0,63.0,62.0,62.0,64.0,67.0,62.0,69.0,68.0,68.0,66.0,59.0,62.0,64.0,55.0,68.0
1,30.0,50.0,65.0,57.0,60.0,62.0,61.0,66.0,67.0,67.0,65.0,69.0,66.0,71.0,73.0,57.0,63.0,76.0,59.0
2,36.0,48.0,59.0,62.0,65.0,70.0,62.0,56.0,70.0,71.0,70.0,75.0,70.0,71.0,76.0,67.0,65.0,58.0,66.0
3,45.0,58.0,63.0,64.0,69.0,67.0,64.0,68.0,73.0,70.0,72.0,71.0,73.0,71.0,56.0,64.0,71.0,72.0,65.0
4,37.0,63.0,65.0,62.0,66.0,68.0,66.0,70.0,71.0,72.0,72.0,77.0,72.0,73.0,72.0,70.0,63.0,67.0,66.0
