,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,11.0,43.0,55.0,34.0,26.0,40.0,39.0,53.0,27.0,43.0,40.0,44.0,40.0,53.0,37.0,45.0,33.0,43.0,48.0
1,50.0,33.0,36.0,36.0,37.0,37.0,39.0,35.0,30.0,46.0,39.0,35.0,46.0,40.0,34.0,52.0,29.0,49.0,50.0
2,9.0,64.0,37.0,48.0,40.0,39.0,41.0,41.0,26.0,28.0,42.0,40.0,46.0,43.0,39.0,51.0,33.0,51.0,52.0
3,45.0,44.0,44.0,41.0,43.0,45.0,44.0,39.0,36.0,26.0,44.0,37.0,48.0,42.0,42.0,46.0,33.0,50.0,54.0
4,48.0,41.0,53.0,35.0,46.0,46.0,47.0,54.0,37.0,26.0,44.0,43.0,48.0,51.0,46.0,51.0,34.0,52.0,51.0
