,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,30.0,47.0,55.0,59.0,54.0,68.0,63.0,51.0,50.0,55.0,69.0,60.0,59.0,73.0,69.0,56.0,60.0,60.0,57.0
1,29.0,45.0,66.0,68.0,68.0,64.0,66.0,54.0,57.0,58.0,66.0,56.0,73.0,57.0,58.0,65.0,63.0,60.0,59.0
2,37.0,38.0,58.0,56.0,52.0,63.0,67.0,58.0,69.0,57.0,62.0,59.0,71.0,60.0,74.0,72.0,60.0,73.0,59.0
3,18.0,42.0,54.0,62.0,66.0,62.0,64.0,59.0,78.0,54.0,69.0,46.0,60.0,67.0,66.0,76.0,58.0,79.0,67.0
4,33.0,39.0,63.0,63.0,66.0,63.0,64.0,55.0,60.0,66.0,72.0,66.0,73.0,74.0,72.0,65.0,65.0,52.0,57.0
