,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,48.0,63.0,51.0,69.0,64.0,70.0,74.0,65.0,76.0,76.0,65.0,69.0,74.0,70.0,63.0,71.0,70.0,74.0,72.0
1,43.0,60.0,59.0,74.0,67.0,71.0,75.0,75.0,65.0,70.0,77.0,75.0,74.0,64.0,74.0,75.0,66.0,68.0,69.0
2,47.0,58.0,68.0,70.0,72.0,69.0,75.0,72.0,75.0,71.0,69.0,78.0,74.0,73.0,76.0,72.0,76.0,74.0,79.0
3,45.0,62.0,69.0,71.0,71.0,72.0,71.0,65.0,75.0,73.0,79.0,71.0,71.0,68.0,73.0,75.0,68.0,72.0,76.0
4,44.0,57.0,63.0,66.0,75.0,72.0,72.0,76.0,74.0,71.0,76.0,77.0,74.0,73.0,75.0,80.0,75.0,69.0,74.0
