,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,23.0,28.0,39.0,3.0,6.0,6.0,5.0,8.0,5.0,3.0,6.0,9.0,8.0,15.0,14.0,16.0,23.0,20.0,30.0
1,23.0,24.0,39.0,4.0,11.0,11.0,8.0,10.0,9.0,8.0,9.0,11.0,17.0,22.0,21.0,14.0,18.0,23.0,36.0
2,23.0,35.0,40.0,5.0,14.0,13.0,11.0,13.0,12.0,11.0,12.0,23.0,18.0,24.0,25.0,28.0,26.0,24.0,36.0
3,35.0,50.0,40.0,4.0,13.0,13.0,10.0,13.0,12.0,10.0,12.0,15.0,19.0,25.0,26.0,28.0,27.0,31.0,40.0
4,26.0,38.0,40.0,4.0,14.0,13.0,11.0,13.0,12.0,11.0,12.0,16.0,17.0,25.0,26.0,29.0,28.0,30.0,33.0
