,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,45.0,25.0,11.0,7.0,8.0,12.0,14.0,10.0,11.0,10.0,12.0,14.0,12.0,14.0,18.0,14.0,14.0,16.0,21.0
1,23.0,17.0,39.0,14.0,11.0,19.0,21.0,16.0,14.0,14.0,15.0,20.0,15.0,18.0,19.0,17.0,20.0,16.0,23.0
2,19.0,12.0,38.0,16.0,19.0,19.0,23.0,20.0,20.0,18.0,20.0,20.0,20.0,22.0,21.0,17.0,19.0,22.0,23.0
3,17.0,21.0,27.0,25.0,23.0,29.0,31.0,27.0,28.0,29.0,29.0,31.0,27.0,32.0,30.0,25.0,28.0,28.0,30.0
4,29.0,26.0,22.0,21.0,26.0,27.0,32.0,31.0,30.0,32.0,29.0,31.0,30.0,30.0,31.0,34.0,30.0,28.0,34.0
