,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,8.0,10.0,19.0,26.0,39.0,30.0,33.0,31.0,32.0,34.0,29.0,37.0,36.0,32.0,32.0,32.0,34.0,51.0,41.0
1,12.0,18.0,25.0,28.0,32.0,30.0,38.0,37.0,36.0,44.0,36.0,42.0,44.0,35.0,41.0,45.0,46.0,48.0,47.0
2,12.0,16.0,23.0,29.0,34.0,34.0,32.0,39.0,35.0,42.0,37.0,37.0,39.0,45.0,46.0,43.0,47.0,43.0,50.0
3,14.0,21.0,30.0,37.0,32.0,34.0,36.0,36.0,36.0,41.0,36.0,37.0,47.0,44.0,39.0,44.0,48.0,44.0,49.0
4,17.0,24.0,31.0,32.0,34.0,33.0,40.0,36.0,37.0,43.0,38.0,38.0,44.0,39.0,45.0,45.0,47.0,47.0,52.0
