,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,2.0,4.0,33.0,14.0,35.0,32.0,19.0,30.0,38.0,38.0,34.0,43.0,33.0,49.0,46.0,50.0,56.0,58.0,65.0
1,1.0,8.0,17.0,28.0,30.0,31.0,28.0,38.0,39.0,35.0,46.0,38.0,39.0,51.0,46.0,48.0,63.0,62.0,52.0
2,4.0,15.0,15.0,18.0,31.0,24.0,24.0,37.0,46.0,47.0,40.0,47.0,40.0,51.0,51.0,59.0,60.0,63.0,55.0
3,4.0,14.0,16.0,16.0,25.0,35.0,28.0,40.0,41.0,36.0,44.0,48.0,46.0,54.0,49.0,43.0,56.0,61.0,59.0
4,3.0,15.0,17.0,18.0,28.0,36.0,28.0,38.0,41.0,48.0,41.0,41.0,49.0,50.0,56.0,54.0,62.0,64.0,58.0
